Work Item Type,Title,Description,Priority,Business Value,Story Points,Effort,Tags,Parent,Assigned To,Area Path,Iteration Path,Acceptance Criteria
Epic,Fundación de la Aplicación,Establecer la base técnica y arquitectural del asistente de jardinería,1,100,42,42,sprint1;foundation;mvp,,Scrum Master,Asistente Plantitas,Sprint 1,"- Sistema de autenticación implementado - Upload de imágenes funcional - Infraestructura base desplegada"
Epic,Identificación de Plantas (IA Core),Motor principal de IA para identificación de especies de plantas,1,100,34,34,sprint2;ai;mvp;core,,IA/ML Specialist,Asistente Plantitas\AI,Sprint 2,"- IA identifica plantas >70% precisión - Información básica mostrada - APIs externas manejadas"
Epic,Asistente Inteligente con LLM,Chat conversacional y sistema de consejos personalizados,2,80,29,29,sprint3;llm;chat;advice,,IA/ML Specialist,Asistente Plantitas\AI,Sprint 3,"- Chat fluido implementado - Consejos específicos por especie - Historial persistente"
Epic,Detección de Enfermedades y Marketplace,Diagnóstico avanzado y integración con tiendas de jardinería,2,60,34,34,sprint4;diagnosis;marketplace;final,,Backend Developer,Asistente Plantitas\Marketplace,Sprint 4,"- Detección enfermedades >60% - Tratamientos recomendados - Marketplace integrado"
Feature,Sistema de Autenticación,Implementar registro login y gestión de sesiones segura,1,40,13,13,auth;security;backend;frontend,Fundación de la Aplicación,Backend Developer,Asistente Plantitas\Backend,Sprint 1,"- Registro con email/contraseña - Login y logout seguro - JWT tokens - Validaciones frontend - Rate limiting"
Feature,Gestión de Imágenes,Sistema de subida y gestión de fotos de plantas,1,35,8,8,images;upload;blob-storage,Fundación de la Aplicación,Frontend Developer,Asistente Plantitas\Frontend,Sprint 1,"- Upload desde dispositivo - Captura con cámara - Preview imagen - Validación formato - Azure Blob Storage"
Feature,Infraestructura Base,Setup de entorno de desarrollo y deployment,1,25,21,21,infrastructure;devops;docker;cicd,Fundación de la Aplicación,DevOps Engineer,Asistente Plantitas\DevOps,Sprint 1,"- Docker Compose funcional - Pipeline CI/CD - Entorno dev automatizado - Monitoreo básico - Documentación"
Feature,Motor de Identificación IA,Sistema principal de identificación de plantas usando IA,1,50,21,21,ai;plant-identification;api;core,Identificación de Plantas (IA Core),IA/ML Specialist,Asistente Plantitas\AI,Sprint 2,"- PlantNet API integrada - Precisión >70% - Tiempo <10 seg - Manejo errores - Cache resultados"
Feature,Gestión de Resultados,Interfaz y gestión de resultados de identificación,1,30,13,13,ui;results;gallery;search,Identificación de Plantas (IA Core),Frontend Developer,Asistente Plantitas\Frontend,Sprint 2,"- Resultados con confianza - Galería plantas - Búsqueda historial - Edición identificaciones - Info detallada"
Feature,Chat IA Inteligente,Sistema de chat conversacional con IA para consejos,1,40,21,21,llm;chat;conversation;advice,Asistente Inteligente con LLM,IA/ML Specialist,Asistente Plantitas\AI,Sprint 3,"- Preguntas sobre cuidado - Respuestas contextuales - Memoria conversación - Consejos personalizados"
Feature,Consejos Automatizados,Sistema automático de recomendaciones de cuidado,2,20,13,13,advice;seasonal;automation,Asistente Inteligente con LLM,Backend Developer,Asistente Plantitas\Backend,Sprint 3,"- Consejos por especie - Recomendaciones estacionales - Recordatorios cuidado - Notificaciones"
Feature,Diagnóstico IA Avanzado,Detección de enfermedades y análisis de salud,1,35,21,21,diagnosis;disease;health;analysis,Detección de Enfermedades y Marketplace,IA/ML Specialist,Asistente Plantitas\AI,Sprint 4,"- Detección enfermedades - Análisis severidad - Recomendaciones tratamiento - Precisión >60%"
